DeviceTag: 5,FirmwareVersion: 2.4.0,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2023-08-10 15:40:58.082,© Movella Technologies B.V. 2005-2023
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
10464487,1.0000,0.0025,0.0042,0.0074,-0.0895,-0.2201,0.1582,0
10464654,1.0000,0.0025,0.0042,0.0074,-0.0886,-0.2047,0.1734,0
10464821,1.0000,0.0026,0.0041,0.0074,-0.0723,-0.2047,0.1664,0
10464987,1.0000,0.0027,0.0041,0.0074,-0.0894,-0.2000,0.1801,0
10465154,1.0000,0.0027,0.0041,0.0075,-0.0688,-0.1923,0.1760,0
10465321,1.0000,0.0028,0.0041,0.0075,-0.0683,-0.2068,0.1676,0
10465487,1.0000,0.0029,0.0040,0.0075,-0.0956,-0.2084,0.1842,0
10465654,1.0000,0.0029,0.0040,0.0075,-0.1023,-0.2244,0.1605,0
10465821,1.0000,0.0030,0.0040,0.0076,-0.0800,-0.2198,0.1603,0
10465987,1.0000,0.0030,0.0039,0.0076,-0.0718,-0.2107,0.1756,0
10466154,1.0000,0.0031,0.0039,0.0076,-0.0695,-0.2100,0.1941,0
10466321,1.0000,0.0031,0.0039,0.0076,-0.0681,-0.2020,0.1677,0
10466487,1.0000,0.0032,0.0039,0.0077,-0.0935,-0.2082,0.1717,0
10466654,1.0000,0.0032,0.0038,0.0077,-0.1170,-0.2043,0.1601,0
10466821,1.0000,0.0033,0.0038,0.0077,-0.1031,-0.2322,0.1563,0
10466987,1.0000,0.0033,0.0038,0.0077,-0.1082,-0.2256,0.1648,0
10467154,1.0000,0.0034,0.0038,0.0078,-0.0822,-0.2058,0.1602,0
10467321,1.0000,0.0034,0.0037,0.0078,-0.0692,-0.2153,0.1645,0
10467487,1.0000,0.0035,0.0037,0.0078,-0.0731,-0.2140,0.1730,0
10467654,0.9999,-0.0077,0.0084,0.0080,-0.0045,0.0038,0.1793,0
10467821,0.9999,-0.0077,0.0084,0.0079,-0.0064,-0.0100,0.1549,0
10467987,0.9999,-0.0077,0.0084,0.0079,0.0134,-0.0171,0.1595,0
10468154,0.9999,-0.0077,0.0084,0.0079,-0.0134,-0.0074,0.1654,0
10468321,0.9999,-0.0077,0.0084,0.0079,-0.0007,-0.0024,0.1783,0
10468487,0.9999,-0.0077,0.0084,0.0079,0.0125,0.0152,0.1845,0
10468654,0.9999,-0.0077,0.0084,0.0079,0.0252,0.0172,0.1881,0
10468821,0.9999,-0.0077,0.0084,0.0079,-0.0087,0.0012,0.1622,0
10468987,0.9999,-0.0077,0.0084,0.0079,-0.0270,0.0061,0.1681,0
10469154,0.9999,-0.0077,0.0084,0.0079,-0.0071,-0.0095,0.1633,0
10469321,0.9999,-0.0077,0.0084,0.0078,0.0079,-0.0132,0.1572,0
10469487,0.9999,-0.0077,0.0084,0.0078,0.0085,0.0129,0.1830,0
10469654,0.9999,-0.0077,0.0084,0.0078,0.0223,0.0105,0.1734,0
10469821,0.9999,-0.0077,0.0084,0.0078,-0.0003,0.0002,0.1685,0
10469987,0.9999,-0.0077,0.0084,0.0078,-0.0063,-0.0050,0.1659,0
10470154,0.9999,-0.0077,0.0084,0.0078,-0.0153,-0.0140,0.1422,0
10470321,0.9999,-0.0077,0.0084,0.0078,-0.0052,-0.0149,0.1451,0
10470487,0.9999,-0.0077,0.0084,0.0078,-0.0031,-0.0179,0.1666,0
10470654,0.9999,-0.0077,0.0084,0.0078,0.0171,0.0020,0.1753,0
10470821,0.9999,-0.0077,0.0084,0.0078,0.0195,0.0096,0.1991,0
10470987,0.9999,-0.0077,0.0084,0.0078,0.0068,0.0190,0.1733,0
10471154,0.9999,-0.0077,0.0084,0.0078,-0.0042,-0.0082,0.1810,0
10471321,0.9999,-0.0077,0.0084,0.0078,-0.0083,-0.0170,0.1654,0
10471487,0.9999,-0.0077,0.0084,0.0077,-0.0055,-0.0006,0.1536,0
10471654,0.9999,-0.0077,0.0084,0.0077,0.0176,0.0120,0.1703,0
10471821,0.9999,-0.0077,0.0084,0.0077,0.0102,0.0019,0.1709,0
10471987,0.9999,-0.0077,0.0084,0.0077,0.0053,0.0104,0.1937,0
10472154,0.9999,-0.0077,0.0084,0.0077,0.0058,0.0079,0.1820,0
10472321,0.9999,-0.0077,0.0084,0.0077,-0.0037,0.0013,0.1840,0
10472487,0.9999,-0.0077,0.0084,0.0077,-0.0171,-0.0165,0.1395,0
10472654,0.9999,-0.0077,0.0084,0.0077,-0.0167,-0.0009,0.1654,0
10472821,0.9999,-0.0077,0.0084,0.0077,0.0016,0.0020,0.1742,0
10472987,0.9999,-0.0077,0.0084,0.0076,0.0144,0.0188,0.1856,0
10473154,0.9999,-0.0077,0.0084,0.0076,0.0184,0.0028,0.1996,0
10473321,0.9999,-0.0077,0.0084,0.0076,0.0201,0.0124,0.1900,0
10473487,0.9999,-0.0077,0.0084,0.0076,-0.0009,0.0029,0.1528,0
10473654,0.9999,-0.0077,0.0084,0.0076,-0.0093,-0.0224,0.1558,0
10473821,0.9999,-0.0077,0.0084,0.0076,-0.0046,-0.0153,0.1434,0
10473987,0.9999,-0.0077,0.0084,0.0076,-0.0102,0.0051,0.1647,0
10474154,0.9999,-0.0077,0.0084,0.0076,-0.0032,0.0183,0.1758,0
10474321,0.9999,-0.0077,0.0083,0.0076,0.0301,0.0145,0.1762,0
10474487,0.9999,-0.0077,0.0083,0.0076,0.0116,0.0059,0.1772,0
10474654,0.9999,-0.0077,0.0084,0.0076,0.0070,-0.0113,0.1670,0
10474821,0.9999,-0.0077,0.0084,0.0076,-0.0156,0.0003,0.1581,0
10474987,0.9999,-0.0077,0.0084,0.0076,-0.0135,-0.0031,0.1678,0
10475154,0.9999,-0.0077,0.0084,0.0076,-0.0099,-0.0035,0.1693,0
10475321,0.9999,-0.0077,0.0084,0.0075,0.0198,0.0028,0.1742,0
10475487,0.9999,-0.0077,0.0084,0.0075,0.0188,0.0146,0.1897,0
10475654,0.9999,-0.0077,0.0084,0.0075,0.0066,-0.0014,0.1567,0
10475821,0.9999,-0.0077,0.0084,0.0075,-0.0052,-0.0021,0.1851,0
10475987,0.9999,-0.0077,0.0084,0.0075,-0.0073,-0.0155,0.1582,0
10476154,0.9999,-0.0077,0.0084,0.0075,-0.0023,-0.0084,0.1562,0
10476321,0.9999,-0.0077,0.0084,0.0075,-0.0029,-0.0024,0.1761,0
10476487,0.9999,-0.0077,0.0084,0.0075,0.0038,0.0053,0.2000,0
10476654,0.9999,-0.0077,0.0084,0.0075,0.0141,0.0086,0.1638,0
10476821,0.9999,-0.0077,0.0084,0.0075,0.0141,0.0197,0.1754,0
10476987,0.9999,-0.0077,0.0083,0.0075,-0.0014,-0.0035,0.1806,0
10477154,0.9999,-0.0077,0.0084,0.0075,-0.0194,-0.0194,0.1539,0
10477321,0.9999,-0.0077,0.0084,0.0075,-0.0255,-0.0185,0.1810,0
10477487,0.9999,-0.0077,0.0084,0.0075,-0.0076,0.0036,0.1624,0
10477654,0.9999,-0.0077,0.0084,0.0075,0.0083,0.0081,0.1597,0
10477821,0.9999,-0.0077,0.0084,0.0075,0.0264,0.0188,0.1928,0
10477988,0.9999,-0.0077,0.0084,0.0074,0.0110,0.0036,0.1708,0
10478154,0.9999,-0.0077,0.0084,0.0074,-0.0036,-0.0041,0.1841,0
10478321,0.9999,-0.0077,0.0083,0.0074,-0.0025,-0.0031,0.1602,0
10478488,0.9999,-0.0077,0.0083,0.0074,-0.0112,0.0029,0.1662,0
10478654,0.9999,-0.0077,0.0083,0.0074,-0.0087,0.0100,0.1685,0
10478821,0.9999,-0.0077,0.0083,0.0074,0.0096,0.0004,0.1728,0
10478988,0.9999,-0.0077,0.0084,0.0074,0.0126,0.0117,0.1680,0
10479154,0.9999,-0.0077,0.0084,0.0074,0.0091,0.0188,0.1617,0
10479321,0.9999,-0.0077,0.0084,0.0074,-0.0073,-0.0004,0.1650,0
10479488,0.9999,-0.0077,0.0084,0.0074,-0.0035,-0.0076,0.1689,0
10479654,0.9999,-0.0077,0.0084,0.0074,-0.0008,-0.0089,0.1721,0
10479821,0.9999,-0.0077,0.0084,0.0074,0.0010,-0.0038,0.1594,0
10479988,0.9999,-0.0077,0.0084,0.0074,-0.0097,0.0101,0.1667,0
10480154,0.9999,-0.0077,0.0083,0.0074,0.0097,0.0073,0.1893,0
10480321,0.9999,-0.0078,0.0084,0.0074,-0.0048,0.0036,0.1803,0
10480488,0.9999,-0.0078,0.0084,0.0074,0.0028,-0.0035,0.1723,0
10480654,0.9999,-0.0078,0.0084,0.0074,-0.0088,-0.0192,0.1456,0
10480821,0.9999,-0.0078,0.0084,0.0074,-0.0095,-0.0064,0.1842,0
10480988,0.9999,-0.0078,0.0083,0.0074,-0.0080,0.0019,0.1629,0
10481154,0.9999,-0.0078,0.0083,0.0074,-0.0090,0.0244,0.1672,0
10481321,0.9999,-0.0078,0.0083,0.0074,0.0081,0.0008,0.1882,0
10481488,0.9999,-0.0078,0.0083,0.0073,-0.0055,0.0023,0.1748,0
10481654,0.9999,-0.0078,0.0083,0.0073,-0.0060,-0.0060,0.1556,0
10481821,0.9999,-0.0078,0.0083,0.0073,0.0065,-0.0178,0.1704,0
10481988,0.9999,-0.0078,0.0083,0.0073,-0.0004,-0.0088,0.1754,0
10482154,0.9999,-0.0078,0.0083,0.0073,0.0155,0.0066,0.1762,0
10482321,0.9999,-0.0078,0.0083,0.0073,0.0082,-0.0016,0.1606,0
10482488,0.9999,-0.0078,0.0083,0.0073,-0.0050,0.0129,0.1876,0
10482654,0.9999,-0.0078,0.0083,0.0073,0.0128,0.0046,0.1747,0
10482821,0.9999,-0.0078,0.0083,0.0073,-0.0114,-0.0090,0.1573,0
10482988,0.9999,-0.0078,0.0083,0.0073,-0.0160,0.0023,0.1609,0
10483154,0.9999,-0.0078,0.0083,0.0073,0.0081,-0.0002,0.1725,0
10483321,0.9999,-0.0078,0.0083,0.0073,0.0098,0.0010,0.1904,0
10483488,0.9999,-0.0078,0.0083,0.0073,0.0160,0.0030,0.1592,0
10483654,0.9999,-0.0078,0.0083,0.0073,0.0103,0.0093,0.1815,0
10483821,0.9999,-0.0078,0.0084,0.0073,-0.0073,0.0052,0.1863,0
